"MouseID","startframe","endframe","NetworkFilename"
"007697",30281,53009,"007697_B6NJ_F_40mg-kg_called B6J.avi"
"007688",45314,50244,"007688_B6J_M_80mg-kg_.avi"
"007682",28342,34543,"007682_B6J_M_60mg-kg_.avi"
"007729",34877,39899,"007729_B6NJ_M_60mg-kg_.avi"
"007727",27255,31429,"007727_B6NJ_M_60mg-kg_.avi"
"007660",19579,24884,"007660_B6J_F_80mg-kg_.avi"
"007684",59176,63349,"007684 B6J_M_80mg-kg video_recording_NV10 or NV11 041222.avi"
"007669",22601,41421,"007669_B6J_F_vehicle_.avi"
"007663",20843,25464,"007663_B6J_F_80mg-kg_called_7763.avi"
"007713",35987,37587,"007713_B6NJ_F_vehicle_.avi"
"007673",39111,60122,"007673_B6J_M_40mg-kg_.avi"
"007720",37242,42047,"007720 B6NJ M 40 mg-kg NV9_2022-03-22_11-03-10.avi"
"007648",29889,55250,"007648_B6J_F_40mg-kg.avi"
"007651",35927,58859,"007651_B6J_F_40mg-kg.avi"
"007679",37394,41692,"007679_B6J_M_60mg-kg_.avi"
"007652",35933,58138,"007652_B6J_F_40mg-kg.avi"
"007668",24099,44869,"007668_B6J_F_vehicle_.avi"
"007693",18076,45467,"007693_B6J_M_vehicle_.avi"
"007732",27490,31893,"007732_B6NJ_M_80mg-kg_.avi"
"007731",42376,45793,"007731_B6NJ_M_80mg-kg_called 7631.avi"
"007723",1778,12195,"007723 B6NJ M 40 mg-kg NV9_2022-03-22_12-00-00 maybe part 2.avi"
"007689",33663,35219,"007689_B6J_M_vehicle_.avi"
"007711",32417,36540,"007711_B6NJ_F_80mg-kg_.avi"
"007698",29239,51626,"007698_B6NJ_F_40mg-kg_called B6J.avi"
"007730",18710,20565,"007730_B6NJ_M_60mg-kg_.avi"
"007726",21017,25022,"007726_B6NJ_M_60mg-kg_.avi"
"007653",2523,9224,"007653_B6J_F_60mg-kg.avi"
"007710",33756,39003,"007710_B6NJ_F_80mg-kg_.avi"
"007733",26485,30512,"007733_B6NJ_M_80mg-kg_.avi"
"007715",34552,60820,"007715_B6NJ_F_vehicle_.avi"
"007704",31667,49387,"007704_B6NJ_F_60mg-kg_.avi"
"007717",25599,51303,"007717_B6NJ_F_vehicle_.avi"
"007694",24353,50806,"007694_B6J_M_vehicle_.avi"
"007708",32246,43441,"007708_B6NJ_F_80mg-kg_.avi"
"007705",27661,35830,"007705_B6NJ_F_60mg-kg_.avi"
"007701",27940,34226,"007701_B6NJ_F_60mg_kg_.avi"
"007696",34435,60794,"007696_B6NJ_F_40mg-kg_called B6J.avi"
"007703",27252,35033,"007703_B6NJ_F_60mg_kg_.avi"
"007680",27821,41131,"007680_B6J_M_60mg-kg_.avi"
"007742",28721,35932,"007655_B6J_F_60mg-kg PTZ"
"007741",29375,45396,"007741_B6NJ_M_vehicle_.avi"
"007687",42466,46137,"007687_B6J_M_80mg-kg_.avi"
"007735",26797,30638,"007735_B6NJ_M_80mg-kg_.avi"
"007672",31955,67882,"007672_B6J_M_40mg-kg_.avi"
"007674",30852,48316,"007674_B6J_M_40mg-kg_.avi"
"007691",36533,72533,"007691_B6J_M_vehicle_.avi"
"007647",34020,59972,"007647_B6J_F_40mg-kg.avi"
"007677",32747,40646,"007677_B6J_M_60mg-kg_.avi"
"007659",39285,43440,"007659_B6J_F_80mg-kg_.avi"
"007649",29798,52993,"007649_B6J_F_40mg-kg.avi"
"007667",25177,47089,"007667_B6J_F_vehicle_.avi"
"007718",28630,57122,"007718_B6NJ_F_vehicle_.avi"
"007681",60650,75295,"007681_B6J_M_60mg-kg_.avi"
"007686",43214,48206,"007686_B6J_M_80mg-kg_.avi"
"007725",26285,30226,"007725_B6NJ_M_60mg-kg_.avi"
"007709",36324,41161,"007709_B6NJ_F_80mg-kg_.avi"
"007650",28327,51065,"007650_B6J_F_40mg-kg.avi"
"007692",68145,104145,"007692_B6J_M_vehicle_.avi"
"007658",25651,33678,"007658_B6J_F_60mg-kg PTZ.avi"
"007714",33251,34795,"007714_B6NJ_F_vehicle_.avi"
"007736",40546,45048,"007736_B6NJ_M_80mg-kg_.avi"
"007685",60000,63254,"007685_B6J_M_80mg-kg_.avi"
"007716",31583,54240,"007716_B6NJ_F_vehicle_.avi"
"007656",27197,33920,"007656_B6J_F_60mg-kg.avi"
"007706",30415,35163,"007706_B6NJ_F_80mg-kg_.avi"
"007707",44744,49084,"007707_B6NJ_F_80mg-kg_.avi"
"007690",34121,35658,"007690_B6J_M_vehicle_.avi"
"007695",35233,56454,"007695_B6NJ_F_40mg-kg_called B6J.avi"
"007740",32827,68827,"007740_B6NJ_M_vehicle_.avi"
"007662",22128,27135,"007662_B6J_F_80mg-kg_called_7762.avi"
"007675",36682,53488,"007675 B6J M 40mg-kg NV5_2022-03-22_11-01-39.avi"
"007671",40642,76642,"007671_B6J_M_40mg-kg_.avi"
"007670",21647,38815,"007670_B6J_F_vehicle_.avi"
"007666",25152,40461,"007666_B6J_F_vehicle_.avi"
"007683",37173,40649,"007683_B6J_M_80mg-kg_.avi"
"007664",21836,27792,"007664_B6J_F_80mg-kg_called_7764.avi"
"007661",14316,19061,"007661_B6J_F_80mg-kg_.avi"
"007702",27614,31932,"007702_B6NJ_F_60mg_kg_.avi"
"007738",29549,65549,"007738_B6NJ_M_vehicle_.avi"
"007700",27491,46720,"007700_B6NJ_F_40mg-kg_called B6J.avi"
"007699",29270,53122,"007699_B6NJ_F_40mg-kg_called B6J.avi"
"007676",38134,54383,"007676 B6J M 40 mg-kgNV10 or NV11 video_recording_2022-03-22_11-03-40.avi"
"007665",26414,41900,"007665_B6J_F_vehicle_.avi"
"007654",5646,12205,"007654_B6J_F_60mg-kg.avi"
"007657",25929,30842,"007657_B6J_F_60mg-kg.avi"
"037834",50975,62457,"037834_B6J_M_38728.avi"
"037835",67812,76834,"037835_B6J_M_38729.avi"
"037833",33142,46860,"037833_B6J_M_38727.avi"
"037836",79765,92391,"037836_B6J_M_38730.avi"
"037849",0,925,"037849_B6J_F_38743.avi"
"037848",98530,109995,"037848_B6J_F_38742.avi"
"037838",84435,95827,"037838_B6J_M_38732.avi"
"037837",71303,81519,"037837_B6J_M_38731.avi"
"037939",43888,55281,"037939_B6J_F_38833.avi"
"037942",87006,98250,"037942_B6J_F_38836.avi"
"037940",58773,69364,"037940_B6J_F_38834.avi"
"037941",73988,84410,"037941_B6J_F_38835.avi"
"037819",43090,53169,"037819_B6NJ_F_38713.avi"
"037821",79630,92758,"037821_B6NJ_F_38715.avi"
"037818",29084,40584,"037818_B6NJ_F_38712.avi"
"037820",66165,78389,"037820_B6NJ_F_38714.avi"
"037949",59368,69519,"037949_B6NJ_M_38843.avi"
"037823",43810,55122,"037823_B6NJ_F_38717.avi"
"037950",74905,85848,"037950_B6NJ_M_38844.avi"
"037822",29100,41034,"037822_B6NJ_F_38716.avi"
"037952",72721,83438,"037952_B6NJ_M_38846.avi"
"037953",58031,70315,"037953_B6NJ_M_38847.avi"
"037954",86488,99189,"037954_B6NJ_M_38848.avi"
"037951",43010,54450,"037951_B6NJ_M_38845.avi"
